,rule,coef,n_predicate,rank,n_violation (instance),n_evaluation (instance),violation,consequent
0,Pregnancies_Low → ¬ Outcome,-0.3511792373952214,2,1,94,94,1,
2,Pregnancies_High → Outcome,0.1467725981277469,2,0,0,12,0,
3,Glucose_Low → ¬ Outcome,-0.4752008545974547,2,2,31,31,1,
5,Glucose_High → Outcome,1.280783723594662,2,5,0,27,0,
12,BMI_Low → ¬ Outcome,-0.6274656515012854,2,3,45,45,1,
15,DiabetesPedigreeFunction_Low → ¬ Outcome,-0.4126484143496792,2,2,75,75,1,
18,Age_Low → ¬ Outcome,-0.3117510760688031,2,1,97,97,1,
19,Age_Medium → Outcome,0.0250126694762603,2,0,0,30,0,
463,¬ Glucose_High ⊗ ¬ BMI_High ⊗ Pregnancies_High ⊗ ¬ Age_Low ⊗ ¬ SkinThickness_Medium ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ ¬ Glucose_Low → ¬ Outcome,-0.0372972237401816,8,0,1,1,1,
686,¬ Glucose_High ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ Glucose_Medium ⊗ ¬ Pregnancies_High ⊗ ¬ SkinThickness_High ⊗ ¬ BloodPressure_High ⊗ BloodPressure_Low → ¬ Outcome,-0.5310150957983116,8,2,12,12,1,
1132,¬ Age_Medium ⊗ BMI_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ Age_High ⊗ ¬ BloodPressure_Medium → ¬ Outcome,-0.1972705724476106,6,0,9,9,1,
1343,¬ BMI_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ Age_Medium ⊗ Age_Low ⊗ ¬ Glucose_High ⊗ BMI_Medium ⊗ Pregnancies_Low ⊗ SkinThickness_Medium ⊗ Glucose_Medium ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ BloodPressure_Low → ¬ Outcome,-0.0377789737127529,12,0,10,10,1,
1347,¬ BMI_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ Age_Medium ⊗ Age_Low ⊗ Glucose_High ⊗ ¬ SkinThickness_High ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome,0.3809523442634774,8,1,0,3,0,
1642,Age_Low ⊗ ¬ Glucose_Low ⊗ ¬ BMI_Low ⊗ ¬ Glucose_High ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ Pregnancies_Medium ⊗ BMI_High ⊗ ¬ BloodPressure_Medium → Outcome,0.1681586037455222,9,0,0,4,0,
1997,¬ Glucose_High ⊗ ¬ BMI_Low ⊗ Glucose_Medium ⊗ ¬ Pregnancies_Low ⊗ DiabetesPedigreeFunction_Low ⊗ BloodPressure_Medium ⊗ ¬ BMI_High ⊗ Pregnancies_Medium ⊗ ¬ SkinThickness_Medium ⊗ ¬ SkinThickness_High → Outcome,0.0942057061711976,11,0,0,1,0,
2178,BMI_Medium ⊗ ¬ BloodPressure_High ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ Glucose_High ⊗ ¬ Pregnancies_Low ⊗ ¬ Pregnancies_High ⊗ ¬ SkinThickness_High ⊗ SkinThickness_Low ⊗ ¬ Glucose_Low → Outcome,0.2523874297541514,10,1,0,1,0,
2858,Pregnancies_Low ⊗ ¬ Glucose_Low ⊗ Glucose_Medium ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ BMI_High ⊗ ¬ BMI_Low ⊗ ¬ Age_High ⊗ DiabetesPedigreeFunction_Low ⊗ SkinThickness_Medium → ¬ Outcome,-0.2074321737293377,10,1,10,10,1,
3004,Glucose_High ⊗ BMI_Medium ⊗ ¬ BloodPressure_Medium ⊗ ¬ SkinThickness_High → Outcome,0.4671840518763755,5,2,0,3,0,
3106,¬ Glucose_High ⊗ Glucose_Low ⊗ DiabetesPedigreeFunction_Low → ¬ Outcome,-0.0029186901930428,4,0,17,17,1,
3976,¬ Glucose_High ⊗ Age_Low ⊗ ¬ SkinThickness_Medium ⊗ BMI_Low ⊗ ¬ BloodPressure_High → ¬ Outcome,-0.4257844535802342,6,2,26,26,1,
4775,¬ Glucose_Low ⊗ Glucose_Medium ⊗ Age_Medium ⊗ ¬ BMI_Low ⊗ BloodPressure_Medium ⊗ ¬ SkinThickness_High ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome,0.0001013978932511,8,0,0,2,0,
5598,BMI_Low ⊗ ¬ Pregnancies_Low ⊗ ¬ SkinThickness_Medium ⊗ Age_High → ¬ Outcome,-0.1368960093138351,5,0,2,2,1,¬
5607,BMI_Low ⊗ Pregnancies_Low ⊗ ¬ Age_High ⊗ ¬ BloodPressure_Medium → ¬ Outcome,-0.2267984430836652,5,1,9,9,1,
6387,Glucose_Low ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ BloodPressure_Low → ¬ Outcome,-0.0112616234866874,4,0,14,14,1,
6512,¬ Glucose_High ⊗ ¬ Glucose_Medium ⊗ ¬ BloodPressure_High → ¬ Outcome,-0.3191286351130865,4,1,29,29,1,
7492,¬ Pregnancies_Low ⊗ ¬ Glucose_Low ⊗ Age_Medium ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ Glucose_Medium ⊗ ¬ BloodPressure_Low ⊗ ¬ SkinThickness_High ⊗ SkinThickness_Medium ⊗ Pregnancies_High → Outcome,0.0558724171543373,10,0,0,1,0,
7531,Pregnancies_Low ⊗ ¬ Glucose_High ⊗ ¬ Glucose_Low ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ Age_High ⊗ BMI_High ⊗ ¬ BloodPressure_Medium → Outcome,0.1441214359912244,8,0,0,4,0,
7794,Pregnancies_Low ⊗ ¬ Age_High ⊗ ¬ SkinThickness_High ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ BMI_Low → ¬ Outcome,-0.0445463325428092,6,0,14,14,1,
