,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.8281867588932806,35,42,0.8333333333333334,632,697,0.9067431850789096,2,5,10,10,15,0
tree generator (disc),0.7611940298507462,0.7333333333333333,0.4782608695652174,0.5789473684210527,0.7870553359683793,32,42,0.7619047619047619,625,697,0.896700143472023,2,5,10,10,15,0
RuleFit Classifier (conti),0.7611940298507462,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.8021245059288538,33,42,0.7857142857142857,622,697,0.8923959827833573,2,5,10,10,15,0
tree generator (conti),0.7985074626865671,0.8275862068965517,0.5217391304347826,0.64,0.837697628458498,35,42,0.8333333333333334,635,697,0.9110473457675753,2,5,10,10,15,0
linear svm (L),0.3358208955223881,0.3383458646616541,0.9782608695652174,0.5027932960893855,0.22084980237154156,29,42,0.6904761904761905,591,697,0.8479196556671449,2,5,10,10,15,0
non-linear svm (L),0.7089552238805971,0.5573770491803278,0.7391304347826086,0.6355140186915887,0.816205533596838,30,42,0.7142857142857143,167,697,0.23959827833572453,2,5,10,10,15,0
logistic regression (L),0.7761194029850746,0.8076923076923077,0.45652173913043476,0.5833333333333333,0.8105237154150198,21,42,0.5,93,697,0.133428981348637,2,5,10,10,15,0
linear svm,0.7910447761194029,0.78125,0.5434782608695652,0.641025641025641,0.8263339920948617,35,42,0.8333333333333334,629,697,0.9024390243902439,2,5,10,10,15,0
non-linear svm,0.7910447761194029,0.8,0.5217391304347826,0.6315789473684211,0.824604743083004,36,42,0.8571428571428571,632,697,0.9067431850789096,2,5,10,10,15,0
logistic regression,0.7985074626865671,0.8064516129032258,0.5434782608695652,0.6493506493506493,0.8248517786561265,35,42,0.8333333333333334,630,697,0.9038737446197992,2,5,10,10,15,0
rule_based_prediction,0.34328358208955223,0.34328358208955223,1.0,0.5111111111111112,0.5,24,42,0.5714285714285714,586,697,0.8407460545193687,2,5,10,10,15,0
