,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.8507462686567164,0.7142857142857143,0.625,0.6666666666666666,0.8754595588235294,6,8,0.75,95,122,0.7786885245901639,3,5,10,10,15,0.4
tree generator (disc),0.7761194029850746,0.525,0.65625,0.5833333333333334,0.8125,7,8,0.875,93,122,0.7622950819672131,3,5,10,10,15,0.4
RuleFit Classifier (conti),0.7611940298507462,0.5,0.625,0.5555555555555556,0.8155637254901961,8,8,1.0,98,122,0.8032786885245902,3,5,10,10,15,0.4
tree generator (conti),0.835820895522388,0.6470588235294118,0.6875,0.6666666666666667,0.8613664215686274,7,8,0.875,95,122,0.7786885245901639,3,5,10,10,15,0.4
linear svm (L),0.23880597014925373,0.23880597014925373,1.0,0.38554216867469876,0.2959558823529412,5,8,0.625,91,122,0.7459016393442623,3,5,10,10,15,0.4
non-linear svm (L),0.753731343283582,0.49122807017543857,0.875,0.6292134831460674,0.8841911764705883,4,8,0.5,16,122,0.13114754098360656,3,5,10,10,15,0.4
logistic regression (L),0.835820895522388,0.6666666666666666,0.625,0.6451612903225806,0.889093137254902,3,8,0.375,11,122,0.09016393442622951,3,5,10,10,15,0.4
linear svm,0.8582089552238806,0.7096774193548387,0.6875,0.6984126984126984,0.8985906862745099,6,8,0.75,95,122,0.7786885245901639,3,5,10,10,15,0.4
non-linear svm,0.835820895522388,0.7272727272727273,0.5,0.5925925925925926,0.9019607843137255,7,8,0.875,99,122,0.8114754098360656,3,5,10,10,15,0.4
logistic regression,0.8432835820895522,0.6896551724137931,0.625,0.6557377049180328,0.9031862745098039,7,8,0.875,97,122,0.7950819672131147,3,5,10,10,15,0.4
rule_based_prediction,0.23880597014925373,0.23880597014925373,1.0,0.38554216867469876,0.5,5,8,0.625,91,122,0.7459016393442623,3,5,10,10,15,0.4
