,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7835820895522388,0.742431080228633,0.5212714040287716,0.6102522522522522,0.8159944208079397,8.0,10.6,0.7621794871794871,167.2,203.4,0.8165725878777146,10,10,15,1
tree generator (disc),0.7417910447761195,0.627843137254902,0.5577058686985013,0.5826078158358861,0.7723221095803497,8.2,10.6,0.7871794871794872,169.4,203.4,0.8254486015114579,10,10,15,1
RuleFit Classifier (conti),0.7388059701492538,0.6125048493469546,0.5563121396906252,0.5792614239506452,0.7970177807729643,10.0,10.6,0.95,173.2,203.4,0.8472765605042744,10,10,15,1
tree generator (conti),0.782089552238806,0.7151582081225442,0.5681060663269597,0.6274596341814758,0.832599556154117,9.6,10.6,0.9096153846153847,173.0,203.4,0.8425463981477327,10,10,15,1
linear svm (L),0.32537313432835824,0.32537313432835824,1.0,0.4891782889030731,0.3485064317587874,6.8,10.6,0.6480769230769231,164.0,203.4,0.7995750333702002,10,10,15,1
non-linear svm (L),0.7149253731343284,0.5440392648287384,0.7595748542457939,0.631353362433997,0.8278007110253066,6.4,10.6,0.6051282051282051,40.8,203.4,0.19077320069513687,10,10,15,1
logistic regression (L),0.7656716417910447,0.7109104178069694,0.48773858294474126,0.5735069431967356,0.8251652438128261,6.0,10.6,0.5371794871794872,24.6,203.4,0.11369487083668864,10,10,15,1
linear svm,0.7791044776119402,0.711435632415234,0.551175322959055,0.6186934885730067,0.8378045112241415,9.2,10.6,0.8596153846153847,170.6,203.4,0.8307170631986092,10,10,15,1
non-linear svm,0.7805970149253731,0.7590702845541555,0.4797139493254202,0.5872011268658709,0.8380644745522868,9.6,10.6,0.9012820512820513,174.0,203.4,0.8496080730594734,10,10,15,1
logistic regression,0.7820895522388059,0.7311434000741563,0.5301646846611826,0.6124642986803386,0.8405733226121905,9.4,10.6,0.8846153846153847,172.4,203.4,0.8404359291815335,10,10,15,1
rule_based_prediction,0.32537313432835824,0.32537313432835824,1.0,0.4891782889030731,0.5,6.8,10.6,0.6480769230769231,164.0,203.4,0.7995750333702002,10,10,15,1
