,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.044776119402985086,0.048551272345409145,0.06432628171294204,0.04485565591656802,0.051304824671545936,1.949358868961793,2.6076809620810595,0.2173067468400883,25.80116276449571,30.703420004944075,0.07626837691537723,10,10,15,1
tree generator (disc),0.049949852330392584,0.09484464421330133,0.07724359917184062,0.03766834267766112,0.04907284663328142,1.6733200530681511,2.6076809620810595,0.16244657241348273,25.12369399590753,30.703420004944075,0.0855145413841788,10,10,15,1
RuleFit Classifier (conti),0.04477611940298505,0.0847686068449345,0.05591239178251508,0.047969563648477376,0.03271865415667994,2.6076809620810595,2.6076809620810595,0.0,27.024063351021066,30.703420004944075,0.07386691667327659,10,10,15,1
tree generator (conti),0.03708887653668408,0.07170258760258308,0.07651368616150239,0.029962068900506584,0.03996933799978943,2.4899799195977463,2.6076809620810595,0.07453559924999296,27.018512172212592,30.703420004944075,0.07419707146271623,10,10,15,1
linear svm (L),0.11181585122217683,0.015236338425151671,0.08385254915624211,0.02029186154643188,0.2624187271643587,1.4832396974191326,2.6076809620810595,0.2091650066335189,31.304951684997057,30.703420004944075,0.1817324524499666,10,10,15,1
non-linear svm (L),0.04731602234073835,0.06147693470424266,0.09173643386941628,0.046962568310815314,0.04108667057003963,1.3416407864998738,2.6076809620810595,0.1118033988749895,6.442049363362563,30.703420004944075,0.04871945357312832,10,10,15,1
logistic regression (L),0.0545848464116709,0.09536092186950305,0.08475357389799032,0.06511705867738796,0.05277461536012388,1.6431676725154984,2.6076809620810595,0.23570226039551584,5.727128425310541,30.703420004944075,0.04562865537469716,10,10,15,1
linear svm,0.053710609598348,0.04834026418196044,0.08645950827368,0.06167129136590704,0.04537626672739911,2.7386127875258306,2.6076809620810595,0.21730674684008833,26.808580715882744,30.703420004944075,0.07401058620708052,10,10,15,1
non-linear svm,0.046484810454917744,0.05776026309175681,0.04893627482134357,0.050199828549179266,0.04869664597607772,2.4899799195977463,2.6076809620810595,0.07453559924999296,27.12379029560581,30.703420004944075,0.07022255112721545,10,10,15,1
logistic regression,0.045821138605996306,0.05821675175576897,0.06363686533976531,0.0475688650231662,0.04743198010816396,2.4899799195977463,2.6076809620810595,0.07453559924999296,27.3367883995176,30.703420004944075,0.07406076414449388,10,10,15,1
rule_based_prediction,0.05022781692675773,0.05022781692675773,0.0,0.059802999417438836,0.0,1.6733200530681511,2.6076809620810595,0.1118033988749895,24.47856204927079,30.703420004944075,0.07294332903234026,10,10,15,1
