,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance)
l-SVM,0.053710609598348,0.04834026418196044,0.08645950827368,0.06167129136590704,0.04537626672739911,3.271085446759225,4.39317652729776,0.03023163882160658,63.67260007255868,63.566500611564265,0.014256058455338259
r-SVM,0.046484810454917744,0.05776026309175681,0.04893627482134357,0.050199828549179266,0.04869664597607772,4.324349662087932,4.39317652729776,0.029686319772865902,62.32014120651525,63.566500611564265,0.010717115805738111
RogReg,0.045821138605996306,0.05821675175576897,0.06363686533976531,0.0475688650231662,0.04743198010816396,3.435112807463533,4.39317652729776,0.025154261421813002,62.71204031125123,63.566500611564265,0.011968984887697121
RuleFit-d,0.044776119402985086,0.048551272345409145,0.06432628171294204,0.04485565591656802,0.05085654794919007,6.058052492344384,4.39317652729776,0.08918594732622488,68.33959320920779,63.566500611564265,0.02134142201936953
RuleFit,0.040326137570466526,0.07650321449292066,0.064526972045359,0.03719415262004553,0.032516111599130475,3.7013511046643495,4.39317652729776,0.06318618889688163,61.05489333378611,63.566500611564265,0.011023871545299678
RF-d,0.049949852330392584,0.09484464421330133,0.07724359917184062,0.03766834267766112,0.04907284663328142,5.594640292279746,4.39317652729776,0.07749401557059225,68.75463620731331,63.566500611564265,0.024663226428382357
RF,0.03708887653668408,0.07170258760258308,0.07651368616150239,0.029962068900506584,0.03996933799978943,3.8987177379235853,4.39317652729776,0.04622194135438782,63.8631349058281,63.566500611564265,0.016639526891766006
l-SVM-p,0.17248333607979988,0.11087978612989424,0.12972494339748342,0.081675177999747,0.2579597915142592,3.768288736283354,4.39317652729776,0.07198320008317358,166.34662605535468,63.566500611564265,0.24729994767498364
r-SVM-p,0.05099805839782051,0.02268933966093289,0.09716091978507696,0.04322845960415282,0.04610424628514494,5.128352561983234,4.39317652729776,0.11654306677674117,26.78619047195775,63.566500611564265,0.03820662474045658
LogReg-p,0.047609366888765915,0.06114720740922548,0.07101982834654867,0.05607871529210064,0.05075216155421317,3.7815340802378072,4.39317652729776,0.11592078178008981,23.78655082184048,63.566500611564265,0.037950736979720914
RuleBase,0.05022781692675773,0.05022781692675773,0.0,0.059802999417438836,0.0,3.391164991562634,4.39317652729776,0.03766893408706835,60.421850352335284,63.566500611564265,0.03452391810785642
