,rule,coef,n_predicate,rank,n_violation (instance),n_evaluation (instance),violation,consequent
0,Pregnancies_Low → ¬ Outcome,-0.3530763159252187,2,1,79,79,1,
3,Glucose_Low → ¬ Outcome,-1.2373072034275114,2,5,31,31,1,
5,Glucose_High → Outcome,1.3671373196034278,2,5,0,26,0,
12,BMI_Low → ¬ Outcome,-0.6640894840024353,2,3,45,45,1,
15,DiabetesPedigreeFunction_Low → ¬ Outcome,-0.3598066136025542,2,1,84,84,1,
18,Age_Low → ¬ Outcome,-0.2127814600833036,2,1,88,88,1,
243,¬ Pregnancies_Medium ⊗ Glucose_High ⊗ ¬ Age_Medium ⊗ ¬ BMI_Low ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome,0.4030145725701877,6,2,0,3,0,
796,¬ Glucose_High ⊗ DiabetesPedigreeFunction_Low ⊗ BMI_Low ⊗ ¬ BloodPressure_High ⊗ ¬ Pregnancies_Medium ⊗ ¬ Age_High ⊗ SkinThickness_Low → ¬ Outcome,-0.2422448265103579,8,1,11,11,1,
1350,¬ Glucose_High ⊗ Pregnancies_Low ⊗ Age_Low ⊗ BMI_Medium ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ SkinThickness_Low → ¬ Outcome,-0.6806867269072288,7,3,12,12,1,
1636,Glucose_Low ⊗ ¬ Age_High ⊗ ¬ Age_Medium → ¬ Outcome,-0.3353786881440087,4,1,27,27,1,
2415,BMI_Low ⊗ ¬ BloodPressure_Medium ⊗ ¬ Pregnancies_High → ¬ Outcome,-0.4847401393597326,4,2,19,19,1,
4339,¬ BMI_Low ⊗ ¬ Glucose_High ⊗ ¬ Age_Low ⊗ ¬ BMI_High ⊗ ¬ BloodPressure_Low ⊗ ¬ DiabetesPedigreeFunction_High ⊗ DiabetesPedigreeFunction_Medium ⊗ ¬ Glucose_Low → Outcome,0.3427465702939079,9,1,0,3,0,
6273,¬ Pregnancies_Low ⊗ ¬ Glucose_High ⊗ ¬ Pregnancies_Medium ⊗ ¬ SkinThickness_Medium ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ DiabetesPedigreeFunction_Low → ¬ Outcome,-0.3699743431139231,7,1,4,4,1,
6734,¬ Glucose_High ⊗ Pregnancies_Low ⊗ ¬ SkinThickness_High ⊗ ¬ Glucose_Low ⊗ ¬ Age_Low ⊗ DiabetesPedigreeFunction_Low ⊗ SkinThickness_Low ⊗ ¬ BloodPressure_High → Outcome,0.2686157591170528,9,1,0,3,0,
9618,¬ Pregnancies_High ⊗ Glucose_Medium ⊗ BMI_Medium ⊗ ¬ BloodPressure_Medium ⊗ ¬ DiabetesPedigreeFunction_High ⊗ DiabetesPedigreeFunction_Medium → ¬ Outcome,-0.457567495357984,7,2,3,3,1,
9925,BMI_Low ⊗ ¬ Pregnancies_High ⊗ Pregnancies_Low ⊗ ¬ DiabetesPedigreeFunction_Low → ¬ Outcome,-0.5600100741641164,5,2,13,13,1,¬
10315,¬ DiabetesPedigreeFunction_Low ⊗ ¬ Glucose_High ⊗ ¬ BMI_Low ⊗ ¬ Pregnancies_Low ⊗ BMI_Medium ⊗ BloodPressure_Medium ⊗ ¬ Glucose_Low ⊗ DiabetesPedigreeFunction_Medium → Outcome,0.2010889749717624,9,1,0,2,0,
11216,¬ Pregnancies_Low ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ BMI_Low → Outcome,0.3372204999618394,5,1,0,5,0,
