,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),nth_fold,n_splits,C1,C2,n_unsupervised,rule_thr
RuleFit Classifier (disc),0.7611940298507462,0.7272727272727273,0.5106382978723404,0.5999999999999999,0.8043531425776472,6,8,0.75,89,121,0.7355371900826446,4,5,10,0.6,15,0.6
tree generator (disc),0.7388059701492538,0.6764705882352942,0.48936170212765956,0.5679012345679013,0.7429689410613841,6,8,0.75,90,121,0.743801652892562,4,5,10,0.6,15,0.6
RuleFit Classifier (conti),0.7313432835820896,0.6486486486486487,0.5106382978723404,0.5714285714285715,0.817803864025434,8,8,1.0,94,121,0.7768595041322314,4,5,10,0.6,15,0.6
tree generator (conti),0.7611940298507462,0.7419354838709677,0.48936170212765956,0.5897435897435898,0.8640254340914649,8,8,1.0,96,121,0.7933884297520661,4,5,10,0.6,15,0.6
linear svm (L),0.35074626865671643,0.35074626865671643,1.0,0.5193370165745856,0.7838102225483002,5,8,0.625,84,121,0.6942148760330579,4,5,10,0.6,15,0.6
non-linear svm (L),0.7686567164179104,0.6333333333333333,0.8085106382978723,0.7102803738317757,0.8527757397896796,4,8,0.5,17,121,0.14049586776859505,4,5,10,0.6,15,0.6
logistic regression (L),0.7761194029850746,0.7931034482758621,0.48936170212765956,0.6052631578947368,0.8640254340914648,5,8,0.625,18,121,0.1487603305785124,4,5,10,0.6,15,0.6
linear svm,0.7686567164179104,0.7222222222222222,0.5531914893617021,0.6265060240963856,0.8684274883834678,8,8,1.0,92,121,0.7603305785123967,4,5,10,0.6,15,0.6
non-linear svm,0.753731343283582,0.7692307692307693,0.425531914893617,0.547945205479452,0.8701393983859134,8,8,1.0,98,121,0.8099173553719008,4,5,10,0.6,15,0.6
logistic regression,0.7761194029850746,0.7741935483870968,0.5106382978723404,0.6153846153846153,0.871851308388359,8,8,1.0,97,121,0.8016528925619835,4,5,10,0.6,15,0.6
