,accuracy,precision,recall,f1,auc,n_violation,n_rule,violation_rate,n_violation (instance),n_evaluation (instance),violation_rate (instance),C1,C2,n_unsupervised,rule_thr
linear svm,0.053710609598348,0.04834026418196044,0.08645950827368,0.06167129136590704,0.04537626672739911,2.7386127875258306,2.6076809620810595,0.21730674684008833,26.808580715882744,30.703420004944075,0.07401058620708052,10,0.6,15,0.6
non-linear svm,0.046484810454917744,0.05776026309175681,0.04893627482134357,0.050199828549179266,0.04869664597607772,2.4899799195977463,2.6076809620810595,0.07453559924999296,27.12379029560581,30.703420004944075,0.07022255112721545,10,0.6,15,0.6
logistic regression,0.045821138605996306,0.05821675175576897,0.06363686533976531,0.0475688650231662,0.04743198010816396,2.4899799195977463,2.6076809620810595,0.07453559924999296,27.3367883995176,30.703420004944075,0.07406076414449388,10,0.6,15,0.6
RuleFit Classifier (disc),0.044776119402985086,0.048551272345409145,0.06432628171294204,0.04485565591656802,0.05123978904670004,1.949358868961793,2.6076809620810595,0.2173067468400883,25.80116276449571,30.703420004944075,0.07626837691537723,10,0.6,15,0.6
RuleFit Classifier (conti),0.04582113860599625,0.08038701272552752,0.04741582264927477,0.048610771870091864,0.03374092195857131,2.6076809620810595,2.6076809620810595,0.0,26.707676799002943,30.703420004944075,0.07122477474701125,10,0.6,15,0.6
tree generator (disc),0.049949852330392584,0.09484464421330133,0.07724359917184062,0.03766834267766112,0.04907284663328142,1.6733200530681511,2.6076809620810595,0.16244657241348273,25.12369399590753,30.703420004944075,0.0855145413841788,10,0.6,15,0.6
tree generator (conti),0.03708887653668408,0.07170258760258308,0.07651368616150239,0.029962068900506584,0.03996933799978943,2.4899799195977463,2.6076809620810595,0.07453559924999296,27.018512172212592,30.703420004944075,0.07419707146271623,10,0.6,15,0.6
linear svm (L),0.20446944095233235,0.1246184753230454,0.12978081344276096,0.09857871267020485,0.2156721073801466,2.04939015319192,2.6076809620810595,0.21969043877440114,27.153268679847734,30.703420004944075,0.2650980731688492,10,0.6,15,0.6
non-linear svm (L),0.05443158963824012,0.05276732374700236,0.07921412428290057,0.055002145808292054,0.04015687636548225,1.6431676725154984,2.6076809620810595,0.2738612787525831,6.985699678629192,30.703420004944075,0.06365780797877313,10,0.6,15,0.6
logistic regression (L),0.054175198247407595,0.0881365632481746,0.08475357389799032,0.06422568072752695,0.051265236152586324,1.8708286933869707,2.6076809620810595,0.21969043877440111,6.016643582596529,30.703420004944075,0.04721680051195271,10,0.6,15,0.6
rule_based_prediction,,,,,,,,,,,,10,0.6,15,0.6
