,antecedents,consequents,support,confidence,lift,antecedents_length,n_violation,n_violation (instance),n_evaluation (instance)
0,Outcome,¬ Age_Low,0.1585820895522388,0.4970760233918129,0.7767718616268563,1,,,
1,Pregnancies_Medium,Outcome,0.1119402985074626,0.4225352112676057,1.3244378552013838,1,0,0,27
2,Outcome,Pregnancies_Medium,0.1119402985074626,0.3508771929824561,1.3244378552013838,1,,,
3,Outcome,¬ Age_Low,0.166044776119403,0.52046783625731,0.8800339439555778,1,,,
4,Glucose_High,Outcome,0.1380597014925373,0.7115384615384616,2.230319388214125,1,0,0,29
5,Outcome,Glucose_High,0.1380597014925373,0.4327485380116959,2.230319388214125,1,,,
6,BloodPressure_Medium,¬ Age_Low,0.210820895522388,0.3156424581005587,0.9893822078473652,1,1,78,78
7,Outcome,¬ Age_Low,0.210820895522388,0.6608187134502924,0.9893822078473652,1,,,
8,Outcome,¬ Age_Low,0.1175373134328358,0.368421052631579,0.8332222962469465,1,,,
9,SkinThickness_Medium,Outcome,0.166044776119403,0.356,1.1158830409356724,1,0,0,64
10,Outcome,SkinThickness_Medium,0.166044776119403,0.52046783625731,1.1158830409356726,1,,,
11,BMI_Medium,Outcome,0.2276119402985074,0.4121621621621621,1.291923502449818,1,0,0,78
12,Outcome,BMI_Medium,0.2276119402985074,0.7134502923976608,1.291923502449818,1,,,
13,Outcome,¬ Age_Low,0.1567164179104477,0.4912280701754386,0.8176964149504196,1,,,
14,DiabetesPedigreeFunction_Medium,Outcome,0.1156716417910447,0.3780487804878049,1.1849950078448153,1,0,0,29
15,Outcome,DiabetesPedigreeFunction_Medium,0.1156716417910447,0.3625730994152046,1.1849950078448153,1,,,
16,Outcome,¬ Age_Low,0.1716417910447761,0.5380116959064327,0.7879078388137921,1,,,
17,Age_Medium,Outcome,0.1063432835820895,0.4710743801652892,1.4765840220385675,1,0,0,38
18,Outcome,Age_Medium,0.1063432835820895,0.3333333333333333,1.476584022038567,1,,,
19,Outcome ⊗ BloodPressure_Medium,¬ Age_Low,0.1007462686567164,0.4778761061946903,0.7467684924791661,2,,,
20,Pregnancies_Low ⊗ Outcome,¬ Age_Low,0.1007462686567164,0.6352941176470588,0.951166611896155,2,,,
21,Outcome,¬ Age_Low,0.1007462686567164,0.3157894736842105,0.7624466571834992,1,,,
22,Outcome,¬ Age_Low,0.1007462686567164,0.3157894736842105,0.7624466571834992,1,,,
23,Pregnancies_Low ⊗ BMI_Medium,Outcome,0.1138059701492537,0.3505747126436782,1.0988774618538684,2,0,0,50
24,Outcome ⊗ BMI_Medium,¬ Age_Low,0.1138059701492537,0.5,0.7813411078717201,2,,,
25,Pregnancies_Low ⊗ Outcome,BMI_Medium,0.1138059701492537,0.7176470588235293,1.2995230524642287,2,,,
26,Outcome,Pregnancies_Low,0.1138059701492537,0.3567251461988304,1.0988774618538684,1,,,
27,Outcome,BMI_Medium,0.1138059701492537,0.3567251461988304,1.0988774618538684,1,,,
28,Pregnancies_Low ⊗ Outcome,Age_Low,0.1231343283582089,0.776470588235294,1.137126325940212,2,,,
29,Outcome ⊗ Age_Low,Pregnancies_Low,0.1231343283582089,0.717391304347826,1.1210546330333375,2,,,
30,Outcome,¬ Age_Low,0.1231343283582089,0.3859649122807017,0.6918969664965088,1,,,
31,Outcome,¬ Age_Low,0.1231343283582089,0.3859649122807017,0.6918969664965088,1,,,
32,Glucose_Medium ⊗ BloodPressure_Medium,¬ Age_Low,0.1175373134328358,0.3058252427184466,0.9586101175268268,2,1,50,50
33,Outcome ⊗ BloodPressure_Medium,¬ Age_Low,0.1175373134328358,0.5575221238938054,0.9426872504955196,2,,,
34,Outcome ⊗ Glucose_Medium,BloodPressure_Medium,0.1175373134328358,0.7078651685393258,1.0598204758018956,2,,,
35,Outcome,¬ Age_Low,0.1175373134328358,0.368421052631579,0.9586101175268268,1,,,
36,Outcome,¬ Age_Low,0.1175373134328358,0.368421052631579,0.9586101175268268,1,,,
37,Glucose_Medium ⊗ BMI_Medium,Outcome,0.1175373134328358,0.3795180722891566,1.1896005072923272,2,0,0,50
38,Outcome ⊗ BMI_Medium,¬ Age_Low,0.1175373134328358,0.5163934426229508,0.8731447484097844,2,,,
39,Outcome ⊗ Glucose_Medium,BMI_Medium,0.1175373134328358,0.7078651685393258,1.2818098997874277,2,,,
40,Outcome,Glucose_Medium,0.1175373134328358,0.368421052631579,1.1896005072923272,1,,,
41,Outcome,BMI_Medium,0.1175373134328358,0.368421052631579,1.1896005072923272,1,,,
42,SkinThickness_Medium ⊗ BloodPressure_Medium,¬ Age_Low,0.1007462686567164,0.313953488372093,0.9840881272949816,2,1,39,39
43,Outcome ⊗ BloodPressure_Medium,SkinThickness_Medium,0.1007462686567164,0.4778761061946903,1.024566371681416,2,,,
44,Outcome ⊗ SkinThickness_Medium,¬ Age_Low,0.1007462686567164,0.6067415730337078,0.9084175506873392,2,,,
45,Outcome,¬ Age_Low,0.1007462686567164,0.3157894736842105,0.9840881272949816,1,,,
46,Outcome,¬ Age_Low,0.1007462686567164,0.3157894736842105,0.9840881272949816,1,,,
47,BMI_Medium ⊗ BloodPressure_Medium,Outcome,0.1548507462686567,0.4048780487804878,1.2690914277563827,2,0,0,45
48,Outcome ⊗ BloodPressure_Medium,BMI_Medium,0.1548507462686567,0.7345132743362832,1.3300645778521885,2,,,
49,Outcome ⊗ BMI_Medium,BloodPressure_Medium,0.1548507462686567,0.6803278688524591,1.0185914461031231,2,,,
50,Outcome,BMI_Medium,0.1548507462686567,0.4853801169590643,1.2690914277563827,1,,,
51,Outcome,BloodPressure_Medium,0.1548507462686567,0.4853801169590643,1.2690914277563827,1,,,
52,Outcome ⊗ BloodPressure_Medium,¬ Age_Low,0.1082089552238805,0.5132743362831859,0.8543945473533777,2,,,
53,Outcome ⊗ DiabetesPedigreeFunction_Low,BloodPressure_Medium,0.1082089552238805,0.6904761904761904,1.0337855812716146,2,,,
54,Outcome,¬ Age_Low,0.1082089552238805,0.3391812865497076,0.8152518815723913,1,,,
55,Outcome,¬ Age_Low,0.1082089552238805,0.3391812865497076,0.8152518815723913,1,,,
56,Outcome ⊗ BloodPressure_Medium,¬ Age_Low,0.1194029850746268,0.5663716814159292,0.8294404951883553,2,,,
57,Outcome ⊗ Age_Low,BloodPressure_Medium,0.1194029850746268,0.6956521739130435,1.0415350983726015,2,,,
58,Outcome,¬ Age_Low,0.1194029850746268,0.3742690058479532,0.8255480952037156,1,,,
59,Outcome,¬ Age_Low,0.1194029850746268,0.3742690058479532,0.8255480952037156,1,,,
60,BMI_Medium ⊗ SkinThickness_Medium,Outcome,0.1287313432835821,0.4011627906976744,1.2574459404324767,2,0,0,39
61,Outcome ⊗ BMI_Medium,SkinThickness_Medium,0.1287313432835821,0.5655737704918034,1.2125901639344263,2,,,
62,Outcome ⊗ SkinThickness_Medium,BMI_Medium,0.1287313432835821,0.7752808988764045,1.4038870331005162,2,,,
63,Outcome,BMI_Medium,0.1287313432835821,0.4035087719298246,1.2574459404324767,1,,,
64,Outcome,SkinThickness_Medium,0.1287313432835821,0.4035087719298246,1.2574459404324767,1,,,
65,BMI_Medium ⊗ DiabetesPedigreeFunction_Low,Outcome,0.1119402985074626,0.335195530726257,1.0506713711653437,2,0,0,54
66,Outcome ⊗ BMI_Medium,¬ Age_Low,0.1119402985074626,0.4918032786885246,0.8186539048976683,2,,,
67,Outcome ⊗ DiabetesPedigreeFunction_Low,BMI_Medium,0.1119402985074626,0.7142857142857143,1.2934362934362933,2,,,
68,Outcome,BMI_Medium,0.1119402985074626,0.3508771929824561,1.0506713711653437,1,,,
69,Outcome,DiabetesPedigreeFunction_Low,0.1119402985074626,0.3508771929824561,1.0506713711653437,1,,,
70,BMI_Medium ⊗ Age_Low,Outcome,0.1194029850746268,0.3404255319148936,1.0670648251835262,2,0,0,45
71,Outcome ⊗ BMI_Medium,¬ Age_Low,0.1194029850746268,0.5245901639344263,0.7682522619367553,2,,,
72,Outcome ⊗ Age_Low,BMI_Medium,0.1194029850746268,0.6956521739130435,1.2596944770857814,2,,,
73,Outcome,BMI_Medium,0.1194029850746268,0.3742690058479532,1.0670648251835262,1,,,
74,Outcome,Age_Low,0.1194029850746268,0.3742690058479532,1.0670648251835262,1,,,
