accuracy
,l-SVM-p,r-SVM-p,LogReg-p
0.0,0.617910447761194,0.6835820895522388,0.7388059701492538
0.1,0.617910447761194,0.6835820895522388,0.7388059701492538
0.2,0.6164179104477612,0.708955223880597,0.7328358208955222
0.3,0.5402985074626866,0.7328358208955223,0.728358208955224
0.4,0.3895522388059701,0.7074626865671643,0.7611940298507462
0.5,0.3253731343283582,0.7208955223880598,0.7656716417910447
0.6,0.4626865671641791,0.7029850746268657,0.7776119402985074
0.7,0.4343283582089552,0.7044776119402985,0.7656716417910447

precision
,l-SVM-p,r-SVM-p,LogReg-p
0.0,0.4715461670367178,0.5250176180408739,0.7668831168831168
0.1,0.4715461670367178,0.5250176180408739,0.7668831168831168
0.2,0.467204402428283,0.5467984911332007,0.8016450216450217
0.3,0.4295735773347713,0.5790313478281454,0.8287878787878789
0.4,0.3300534903834197,0.5374751644174309,0.7638330510069642
0.5,0.3253731343283582,0.5500993845085327,0.761419997072171
0.6,0.3997720488466757,0.5445131708779842,0.7568465608465609
0.7,0.3869681680095099,0.5367100517694638,0.709353131933777

recall
,l-SVM-p,r-SVM-p,LogReg-p
0.0,0.8835471626628955,0.7568151247127394,0.2915504179974908
0.1,0.8835471626628955,0.7568151247127394,0.2915504179974908
0.2,0.8984741611302667,0.7491842462744074,0.2499934889017418
0.3,0.8681243338728141,0.6977007456333807,0.2121685561366081
0.4,0.8621822433876419,0.7928303905028499,0.3899447404056231
0.5,1.0,0.7812693616678024,0.4195012863441567
0.6,0.8974308300395257,0.7461729116000954,0.4814885829447412
0.7,0.9275628626692456,0.7689342201012943,0.4918202155978025

f1
,l-SVM-p,r-SVM-p,LogReg-p
0.0,0.6084621804278498,0.6072152745710506,0.4167847326336832
0.1,0.6084621804278498,0.6072152745710506,0.4167847326336832
0.2,0.6095668036806547,0.6212423293356759,0.3764072654504304
0.3,0.5650062864374864,0.626487493204781,0.335827892553615
0.4,0.4752330966883068,0.6344781426583052,0.5146008595621148
0.5,0.4891782889030731,0.64455174481828,0.5378918815289795
0.6,0.5323404519018041,0.6173826779434257,0.5851734571053584
0.7,0.5248387364129229,0.6248312916398022,0.5761992508890432

auc
,l-SVM-p,r-SVM-p,LogReg-p
0.0,0.680065473814843,0.7955446838639546,0.8274537060841076
0.1,0.680065473814843,0.7955446838639546,0.8274537060841076
0.2,0.6947203716764908,0.8091493063216179,0.8329982633968622
0.3,0.6546509151123662,0.8151409899616002,0.8334431063886207
0.4,0.4793717694459585,0.8124818050897883,0.8309297164935494
0.5,0.2507840847826713,0.8214733941496546,0.8279999125714914
0.6,0.4643634056962797,0.8251173600633361,0.8259710005249987
0.7,0.6073189087847022,0.8265995896919449,0.8259629838458563

violation_rate
,l-SVM-p,r-SVM-p,LogReg-p
0.0,0.9267893870835048,0.970228301110654,0.9958333333333332
0.1,0.9267893870835048,0.970228301110654,0.9958333333333332
0.2,0.8357333499833499,0.9643047785547786,0.9875
0.3,0.7127106227106228,0.9127106227106226,0.957948717948718
0.4,0.5333333333333333,0.7083333333333333,1.0
0.5,0.0,0.15,1.0
0.6,0.4,0.0,1.0
0.7,0.2,0.0,1.0

violation_rate (instance)
,l-SVM-p,r-SVM-p,LogReg-p
0.0,0.4502708286679029,0.443858808619293,0.4691129523814382
0.1,0.4502708286679029,0.443858808619293,0.4691129523814382
0.2,0.4123556441160348,0.4301325421942999,0.4862520056840272
0.3,0.354002016056628,0.490148179533751,0.6505221374664236
0.4,0.1478240485871887,0.313440893036236,0.6626618460115699
0.5,0.0,0.0507518796992481,0.3343897616129921
0.6,0.0304843304843304,0.0,0.2005821674381512
0.7,0.0461538461538461,0.0,0.1785308853868691

