,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'Outcome'}),frozenset({'Glucose_Medium'}),0.31529850746268656,0.5914179104477612,0.15858208955223882,0.5029585798816568,0.8504283874339686,-0.027891094898641083,0.8220282515991473,-0.2043715568251375
1,frozenset({'Glucose_High'}),frozenset({'Outcome'}),0.1921641791044776,0.31529850746268656,0.1417910447761194,0.7378640776699029,2.3402079623140115,0.08120196591668521,2.6120093974571583,0.708915765163486
2,frozenset({'Outcome'}),frozenset({'BloodPressure_Medium'}),0.31529850746268656,0.6399253731343284,0.208955223880597,0.6627218934911242,1.035623716942398,0.007187708843840485,1.0675896831631313,0.05023841961852851
3,frozenset({'Outcome'}),frozenset({'SkinThickness_Medium'}),0.31529850746268656,0.47201492537313433,0.16044776119402984,0.5088757396449703,1.078092476085787,0.011622159723769204,1.0750539471318108,0.10579177491920656
4,frozenset({'Outcome'}),frozenset({'BMI_Medium'}),0.31529850746268656,0.5559701492537313,0.22201492537313433,0.7041420118343196,1.2665104642389104,0.046718367119625764,1.5008208955223883,0.3073294712980561
5,frozenset({'Outcome'}),frozenset({'DiabetesPedigreeFunction_Low'}),0.31529850746268656,0.625,0.17537313432835822,0.5562130177514794,0.889940828402367,-0.021688432835820892,0.8450000000000001,-0.15298681529131575
6,frozenset({'Age_Medium'}),frozenset({'Outcome'}),0.2462686567164179,0.31529850746268656,0.125,0.5075757575757576,1.609826071364533,0.04735186010247272,1.390470723306544,0.5025860795034728
85,"frozenset({'Outcome', 'Pregnancies_Low'})",frozenset({'BloodPressure_Medium'}),0.15671641791044777,0.6399253731343284,0.10261194029850747,0.6547619047619048,1.0231847841177286,0.002325128090888834,1.0429747812660832,0.026870474658085213
86,"frozenset({'BMI_Medium', 'Outcome'})",frozenset({'Pregnancies_Low'}),0.22201492537313433,0.6511194029850746,0.11753731343283583,0.5294117647058824,0.8130793864823866,-0.027020912229895305,0.7413712686567164,-0.22809543397778695
87,"frozenset({'Outcome', 'Pregnancies_Low'})",frozenset({'BMI_Medium'}),0.15671641791044777,0.5559701492537313,0.11753731343283583,0.75,1.348993288590604,0.03040766317665404,1.7761194029850746,0.3067846607669616
88,"frozenset({'Age_Low', 'Outcome'})",frozenset({'Pregnancies_Low'}),0.14925373134328357,0.6511194029850746,0.11194029850746269,0.7500000000000001,1.1518624641833812,0.014758298061929173,1.395522388059702,0.15497076023391826
89,"frozenset({'Outcome', 'Pregnancies_Low'})",frozenset({'Age_Low'}),0.15671641791044777,0.6697761194029851,0.11194029850746269,0.7142857142857143,1.0664544369279745,0.0069753842726665155,1.1557835820895523,0.07389380530973448
90,"frozenset({'Glucose_Medium', 'Outcome'})",frozenset({'BloodPressure_Medium'}),0.15858208955223882,0.6399253731343284,0.11007462686567164,0.6941176470588235,1.0846853026925054,0.008593924036533737,1.1771670493685418,0.09278815438385496
91,"frozenset({'Outcome', 'BloodPressure_Medium'})",frozenset({'Glucose_Medium'}),0.208955223880597,0.5914179104477612,0.11007462686567164,0.5267857142857143,0.8907165389815233,-0.013505235018935163,0.8634187552802028,-0.1342746400885935
92,"frozenset({'Glucose_Medium', 'Outcome'})",frozenset({'BMI_Medium'}),0.15858208955223882,0.5559701492537313,0.11194029850746269,0.7058823529411764,1.2696407422029212,0.023773390510135883,1.5097014925373131,0.25240206947524013
93,"frozenset({'BMI_Medium', 'Outcome'})",frozenset({'Glucose_Medium'}),0.22201492537313433,0.5914179104477612,0.11194029850746269,0.5042016806722689,0.8525302865625746,-0.019363304744932044,0.82408929926638,-0.18189844030997604
94,"frozenset({'BMI_Medium', 'Outcome'})",frozenset({'BloodPressure_Medium'}),0.22201492537313433,0.6399253731343284,0.14925373134328357,0.6722689075630252,1.05054266604601,0.007180747382490499,1.0986892460773054,0.061840527577937364
95,"frozenset({'Outcome', 'BloodPressure_Medium'})",frozenset({'BMI_Medium'}),0.208955223880597,0.5559701492537313,0.14925373134328357,0.7142857142857143,1.2847555129434325,0.033080864335041205,1.5541044776119404,0.28018867924528296
96,"frozenset({'DiabetesPedigreeFunction_Low', 'Outcome'})",frozenset({'BloodPressure_Medium'}),0.17537313432835822,0.6399253731343284,0.11940298507462686,0.6808510638297872,1.0639538490168103,0.007177266651815534,1.128233830845771,0.07289309954751116
97,"frozenset({'Outcome', 'BloodPressure_Medium'})",frozenset({'DiabetesPedigreeFunction_Low'}),0.208955223880597,0.625,0.11940298507462686,0.5714285714285714,0.9142857142857143,-0.01119402985074626,0.8749999999999999,-0.10595677385345273
98,"frozenset({'Age_Low', 'Outcome'})",frozenset({'BloodPressure_Medium'}),0.14925373134328357,0.6399253731343284,0.10634328358208955,0.7125,1.1134110787172011,0.010832033860548013,1.2524334847501621,0.11972914742997852
99,"frozenset({'Outcome', 'BloodPressure_Medium'})",frozenset({'Age_Low'}),0.208955223880597,0.6697761194029851,0.10634328358208955,0.5089285714285715,0.7598487863111819,-0.03360993539763868,0.6724559023066486,-0.2854777672658468
100,"frozenset({'BMI_Medium', 'Outcome'})",frozenset({'SkinThickness_Medium'}),0.22201492537313433,0.47201492537313433,0.12313432835820895,0.5546218487394957,1.175009134088418,0.018339969926486954,1.1854759222754152,0.19144684252597907
101,"frozenset({'Outcome', 'SkinThickness_Medium'})",frozenset({'BMI_Medium'}),0.16044776119402984,0.5559701492537313,0.12313432835820895,0.7674418604651163,1.3803652255345715,0.033930162619737136,1.9093283582089555,0.32821548821548824
102,"frozenset({'DiabetesPedigreeFunction_Low', 'Outcome'})",frozenset({'BMI_Medium'}),0.17537313432835822,0.5559701492537313,0.11940298507462686,0.6808510638297872,1.2246180208482078,0.021900757406994875,1.3912935323383084,0.22242647058823528
103,"frozenset({'BMI_Medium', 'Outcome'})",frozenset({'DiabetesPedigreeFunction_Low'}),0.22201492537313433,0.625,0.11940298507462686,0.5378151260504201,0.8605042016806722,-0.019356343283582086,0.8113636363636363,-0.17243945548699183
104,"frozenset({'Age_Low', 'Outcome'})",frozenset({'BMI_Medium'}),0.14925373134328357,0.5559701492537313,0.10261194029850747,0.6875000000000001,1.236577181208054,0.01963132100690579,1.4208955223880602,0.2248803827751198
