,rule,type,coef,support,importance
0,Pregnancies_Low,linear,-0.35183539232939764,1.0,0.1672684980345624
1,Pregnancies_Medium,linear,0.0,1.0,0.0
2,Pregnancies_High,linear,0.0,1.0,0.0
3,Glucose_Low,linear,-1.2427753589978205,1.0,0.49501117627447694
4,Glucose_Medium,linear,0.0,1.0,0.0
5,Glucose_High,linear,1.366399871582112,1.0,0.54617718878085
6,BloodPressure_Low,linear,0.0,1.0,0.0
7,BloodPressure_Medium,linear,0.0,1.0,0.0
8,BloodPressure_High,linear,0.0,1.0,0.0
9,SkinThickness_Low,linear,0.0,1.0,0.0
10,SkinThickness_Medium,linear,0.0176786790020541,1.0,0.008825483328787739
11,SkinThickness_High,linear,0.0,1.0,0.0
12,BMI_Low,linear,-0.663824655461202,1.0,0.30843593693296273
13,BMI_Medium,linear,0.0,1.0,0.0
14,BMI_High,linear,0.0,1.0,0.0
15,DiabetesPedigreeFunction_Low,linear,-0.3588570314280834,1.0,0.1745610118384543
16,DiabetesPedigreeFunction_Medium,linear,0.0,1.0,0.0
17,DiabetesPedigreeFunction_High,linear,0.0,1.0,0.0
18,Age_Low,linear,-0.21533833743435618,1.0,0.10036933654141458
19,Age_Medium,linear,0.06187145556288587,1.0,0.026090655719698538
20,Age_High,linear,0.0,1.0,0.0
21,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low <= 0.5 & SkinThickness_Medium <= 0.5 & Age_High <= 0.5 & BMI_Medium <= 0.5 & BMI_Low <= 0.5,rule,0.0,0.0029239766081871343,0.0
22,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low <= 0.5 & SkinThickness_Medium <= 0.5 & Age_High <= 0.5 & BMI_Medium <= 0.5 & BMI_Low > 0.5 & Pregnancies_High <= 0.5,rule,0.0,0.0029239766081871343,0.0
23,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low <= 0.5 & SkinThickness_Medium <= 0.5 & Age_High <= 0.5 & BMI_Medium <= 0.5 & BMI_Low > 0.5 & Pregnancies_High > 0.5,rule,0.0,0.0029239766081871343,0.0
24,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low <= 0.5 & SkinThickness_Medium <= 0.5 & Age_High <= 0.5 & BMI_Medium > 0.5,rule,0.0,0.005847953216374269,0.0
25,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low <= 0.5 & SkinThickness_Medium <= 0.5 & Age_High > 0.5,rule,0.0,0.005847953216374269,0.0
26,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low <= 0.5 & SkinThickness_Medium > 0.5 & BMI_Medium <= 0.5,rule,0.0,0.0029239766081871343,0.0
27,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low <= 0.5 & SkinThickness_Medium > 0.5 & BMI_Medium > 0.5 & Age_Medium <= 0.5,rule,0.0,0.0029239766081871343,0.0
28,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low <= 0.5 & SkinThickness_Medium > 0.5 & BMI_Medium > 0.5 & Age_Medium > 0.5 & Pregnancies_Low <= 0.5 & Pregnancies_Medium <= 0.5 & BloodPressure_High <= 0.5,rule,0.0,0.008771929824561403,0.0
29,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low <= 0.5 & SkinThickness_Medium > 0.5 & BMI_Medium > 0.5 & Age_Medium > 0.5 & Pregnancies_Low <= 0.5 & Pregnancies_Medium <= 0.5 & BloodPressure_High > 0.5,rule,0.0,0.0029239766081871343,0.0
30,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low <= 0.5 & SkinThickness_Medium > 0.5 & BMI_Medium > 0.5 & Age_Medium > 0.5 & Pregnancies_Low <= 0.5 & Pregnancies_Medium > 0.5,rule,0.0,0.005847953216374269,0.0
31,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low <= 0.5 & SkinThickness_Medium > 0.5 & BMI_Medium > 0.5 & Age_Medium > 0.5 & Pregnancies_Low > 0.5,rule,0.0,0.0029239766081871343,0.0
32,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low > 0.5 & BloodPressure_Medium <= 0.5,rule,0.0,0.043859649122807015,0.0
33,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low > 0.5 & BloodPressure_Medium > 0.5 & Pregnancies_Low <= 0.5,rule,0.0,0.011695906432748537,0.0
34,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low > 0.5 & BloodPressure_Medium > 0.5 & Pregnancies_Low > 0.5 & DiabetesPedigreeFunction_Low <= 0.5 & BMI_Low <= 0.5 & SkinThickness_Low <= 0.5 & SkinThickness_Medium <= 0.5,rule,0.0,0.005847953216374269,0.0
35,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low > 0.5 & BloodPressure_Medium > 0.5 & Pregnancies_Low > 0.5 & DiabetesPedigreeFunction_Low <= 0.5 & BMI_Low <= 0.5 & SkinThickness_Low <= 0.5 & SkinThickness_Medium > 0.5,rule,0.0,0.008771929824561403,0.0
36,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low > 0.5 & BloodPressure_Medium > 0.5 & Pregnancies_Low > 0.5 & DiabetesPedigreeFunction_Low <= 0.5 & BMI_Low <= 0.5 & SkinThickness_Low > 0.5,rule,0.0,0.008771929824561403,0.0
37,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low > 0.5 & BloodPressure_Medium > 0.5 & Pregnancies_Low > 0.5 & DiabetesPedigreeFunction_Low <= 0.5 & BMI_Low > 0.5,rule,0.0,0.011695906432748537,0.0
38,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low > 0.5 & BloodPressure_Medium > 0.5 & Pregnancies_Low > 0.5 & DiabetesPedigreeFunction_Low > 0.5 & SkinThickness_Medium <= 0.5 & SkinThickness_High <= 0.5 & BMI_Low <= 0.5 & BMI_Medium <= 0.5,rule,0.0,0.0029239766081871343,0.0
39,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low > 0.5 & BloodPressure_Medium > 0.5 & Pregnancies_Low > 0.5 & DiabetesPedigreeFunction_Low > 0.5 & SkinThickness_Medium <= 0.5 & SkinThickness_High <= 0.5 & BMI_Low <= 0.5 & BMI_Medium > 0.5,rule,0.0,0.005847953216374269,0.0
40,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & Age_Low > 0.5 & BloodPressure_Medium > 0.5 & Pregnancies_Low > 0.5 & DiabetesPedigreeFunction_Low > 0.5 & SkinThickness_Medium <= 0.5 & SkinThickness_High <= 0.5 & BMI_Low > 0.5,rule,0.0,0.014619883040935672,0.0
