,rule,type,coef,support,importance
0,Pregnancies_Low,linear,-0.1664067742600565,1.0,0.0798788726353872
1,Pregnancies_Medium,linear,0.0,1.0,0.0
2,Pregnancies_High,linear,0.0,1.0,0.0
3,Glucose_Low,linear,-1.0910351698342542,1.0,0.44788232996824096
4,Glucose_Medium,linear,0.0,1.0,0.0
5,Glucose_High,linear,1.2193390751718285,1.0,0.48219005045762636
6,BloodPressure_Low,linear,0.0,1.0,0.0
7,BloodPressure_Medium,linear,0.0,1.0,0.0
8,BloodPressure_High,linear,0.16147040877169133,1.0,0.0614049265900808
9,SkinThickness_Low,linear,0.0,1.0,0.0
10,SkinThickness_Medium,linear,0.0,1.0,0.0
11,SkinThickness_High,linear,0.0,1.0,0.0
12,BMI_Low,linear,-0.9883422568908442,1.0,0.462776698952495
13,BMI_Medium,linear,0.0,1.0,0.0
14,BMI_High,linear,0.0,1.0,0.0
15,DiabetesPedigreeFunction_Low,linear,-0.5041584022272775,1.0,0.2469090692201453
16,DiabetesPedigreeFunction_Medium,linear,0.0,1.0,0.0
17,DiabetesPedigreeFunction_High,linear,0.0,1.0,0.0
18,Age_Low,linear,-0.20140662243931493,1.0,0.09372899495386643
19,Age_Medium,linear,0.0,1.0,0.0
20,Age_High,linear,0.0,1.0,0.0
21,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & SkinThickness_High <= 0.5 & SkinThickness_Medium <= 0.5,rule,0.0,0.07894736842105263,0.0
22,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & SkinThickness_High <= 0.5 & SkinThickness_Medium > 0.5 & BMI_Low <= 0.5 & Age_Low <= 0.5 & DiabetesPedigreeFunction_Medium <= 0.5 & Pregnancies_Low <= 0.5 & Pregnancies_Medium <= 0.5,rule,0.0,0.005847953216374269,0.0
23,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & SkinThickness_High <= 0.5 & SkinThickness_Medium > 0.5 & BMI_Low <= 0.5 & Age_Low <= 0.5 & DiabetesPedigreeFunction_Medium <= 0.5 & Pregnancies_Low <= 0.5 & Pregnancies_Medium > 0.5,rule,0.0,0.0029239766081871343,0.0
24,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & SkinThickness_High <= 0.5 & SkinThickness_Medium > 0.5 & BMI_Low <= 0.5 & Age_Low <= 0.5 & DiabetesPedigreeFunction_Medium <= 0.5 & Pregnancies_Low > 0.5,rule,0.0,0.0029239766081871343,0.0
25,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & SkinThickness_High <= 0.5 & SkinThickness_Medium > 0.5 & BMI_Low <= 0.5 & Age_Low <= 0.5 & DiabetesPedigreeFunction_Medium > 0.5,rule,0.0,0.0029239766081871343,0.0
26,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & SkinThickness_High <= 0.5 & SkinThickness_Medium > 0.5 & BMI_Low <= 0.5 & Age_Low > 0.5 & Pregnancies_Low <= 0.5,rule,0.0,0.008771929824561403,0.0
27,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & SkinThickness_High <= 0.5 & SkinThickness_Medium > 0.5 & BMI_Low <= 0.5 & Age_Low > 0.5 & Pregnancies_Low > 0.5 & DiabetesPedigreeFunction_Low <= 0.5,rule,0.0,0.011695906432748537,0.0
28,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & SkinThickness_High <= 0.5 & SkinThickness_Medium > 0.5 & BMI_Low <= 0.5 & Age_Low > 0.5 & Pregnancies_Low > 0.5 & DiabetesPedigreeFunction_Low > 0.5 & BloodPressure_Medium <= 0.5 & BloodPressure_High <= 0.5,rule,0.0,0.005847953216374269,0.0
29,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & SkinThickness_High <= 0.5 & SkinThickness_Medium > 0.5 & BMI_Low <= 0.5 & Age_Low > 0.5 & Pregnancies_Low > 0.5 & DiabetesPedigreeFunction_Low > 0.5 & BloodPressure_Medium <= 0.5 & BloodPressure_High > 0.5,rule,0.0,0.0029239766081871343,0.0
30,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & SkinThickness_High <= 0.5 & SkinThickness_Medium > 0.5 & BMI_Low <= 0.5 & Age_Low > 0.5 & Pregnancies_Low > 0.5 & DiabetesPedigreeFunction_Low > 0.5 & BloodPressure_Medium > 0.5,rule,0.0,0.03508771929824561,0.0
31,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & SkinThickness_High <= 0.5 & SkinThickness_Medium > 0.5 & BMI_Low > 0.5,rule,0.0,0.023391812865497075,0.0
32,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & SkinThickness_High > 0.5 & BMI_High <= 0.5 & Pregnancies_Low <= 0.5,rule,0.0,0.0029239766081871343,0.0
33,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & SkinThickness_High > 0.5 & BMI_High <= 0.5 & Pregnancies_Low > 0.5 & DiabetesPedigreeFunction_Medium <= 0.5,rule,0.0,0.005847953216374269,0.0
34,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & SkinThickness_High > 0.5 & BMI_High <= 0.5 & Pregnancies_Low > 0.5 & DiabetesPedigreeFunction_Medium > 0.5,rule,0.0,0.0029239766081871343,0.0
35,Glucose_High <= 0.5 & Glucose_Medium <= 0.5 & SkinThickness_High > 0.5 & BMI_High > 0.5,rule,0.0,0.0029239766081871343,0.0
36,Glucose_High <= 0.5 & Glucose_Medium > 0.5 & Pregnancies_High <= 0.5 & Pregnancies_Medium <= 0.5 & BMI_Low <= 0.5 & BloodPressure_Low <= 0.5 & SkinThickness_Medium <= 0.5 & BloodPressure_High <= 0.5 & SkinThickness_Low <= 0.5 & DiabetesPedigreeFunction_Medium <= 0.5 & BMI_Medium <= 0.5 & DiabetesPedigreeFunction_Low <= 0.5,rule,0.0,0.0029239766081871343,0.0
37,Glucose_High <= 0.5 & Glucose_Medium > 0.5 & Pregnancies_High <= 0.5 & Pregnancies_Medium <= 0.5 & BMI_Low <= 0.5 & BloodPressure_Low <= 0.5 & SkinThickness_Medium <= 0.5 & BloodPressure_High <= 0.5 & SkinThickness_Low <= 0.5 & DiabetesPedigreeFunction_Medium <= 0.5 & BMI_Medium <= 0.5 & DiabetesPedigreeFunction_Low > 0.5,rule,0.0,0.005847953216374269,0.0
38,Glucose_High <= 0.5 & Glucose_Medium > 0.5 & Pregnancies_High <= 0.5 & Pregnancies_Medium <= 0.5 & BMI_Low <= 0.5 & BloodPressure_Low <= 0.5 & SkinThickness_Medium <= 0.5 & BloodPressure_High <= 0.5 & SkinThickness_Low <= 0.5 & DiabetesPedigreeFunction_Medium <= 0.5 & BMI_Medium > 0.5,rule,0.0,0.0029239766081871343,0.0
39,Glucose_High <= 0.5 & Glucose_Medium > 0.5 & Pregnancies_High <= 0.5 & Pregnancies_Medium <= 0.5 & BMI_Low <= 0.5 & BloodPressure_Low <= 0.5 & SkinThickness_Medium <= 0.5 & BloodPressure_High <= 0.5 & SkinThickness_Low <= 0.5 & DiabetesPedigreeFunction_Medium > 0.5,rule,0.0,0.0029239766081871343,0.0
40,Glucose_High <= 0.5 & Glucose_Medium > 0.5 & Pregnancies_High <= 0.5 & Pregnancies_Medium <= 0.5 & BMI_Low <= 0.5 & BloodPressure_Low <= 0.5 & SkinThickness_Medium <= 0.5 & BloodPressure_High <= 0.5 & SkinThickness_Low > 0.5 & Age_High <= 0.5 & Age_Medium <= 0.5 & DiabetesPedigreeFunction_Medium <= 0.5 & DiabetesPedigreeFunction_High <= 0.5 & BMI_Medium <= 0.5,rule,0.0,0.0029239766081871343,0.0
41,Glucose_High <= 0.5 & Glucose_Medium > 0.5 & Pregnancies_High <= 0.5 & Pregnancies_Medium <= 0.5 & BMI_Low <= 0.5 & BloodPressure_Low <= 0.5 & SkinThickness_Medium <= 0.5 & BloodPressure_High <= 0.5 & SkinThickness_Low > 0.5 & Age_High <= 0.5 & Age_Medium <= 0.5 & DiabetesPedigreeFunction_Medium <= 0.5 & DiabetesPedigreeFunction_High <= 0.5 & BMI_Medium > 0.5,rule,0.0,0.017543859649122806,0.0
42,Glucose_High <= 0.5 & Glucose_Medium > 0.5 & Pregnancies_High <= 0.5 & Pregnancies_Medium <= 0.5 & BMI_Low <= 0.5 & BloodPressure_Low <= 0.5 & SkinThickness_Medium <= 0.5 & BloodPressure_High <= 0.5 & SkinThickness_Low > 0.5 & Age_High <= 0.5 & Age_Medium <= 0.5 & DiabetesPedigreeFunction_Medium <= 0.5 & DiabetesPedigreeFunction_High > 0.5,rule,0.0,0.0029239766081871343,0.0
43,Glucose_High <= 0.5 & Glucose_Medium > 0.5 & Pregnancies_High <= 0.5 & Pregnancies_Medium <= 0.5 & BMI_Low <= 0.5 & BloodPressure_Low <= 0.5 & SkinThickness_Medium <= 0.5 & BloodPressure_High <= 0.5 & SkinThickness_Low > 0.5 & Age_High <= 0.5 & Age_Medium <= 0.5 & DiabetesPedigreeFunction_Medium > 0.5 & BMI_High <= 0.5,rule,0.0,0.011695906432748537,0.0
44,Glucose_High <= 0.5 & Glucose_Medium > 0.5 & Pregnancies_High <= 0.5 & Pregnancies_Medium <= 0.5 & BMI_Low <= 0.5 & BloodPressure_Low <= 0.5 & SkinThickness_Medium <= 0.5 & BloodPressure_High <= 0.5 & SkinThickness_Low > 0.5 & Age_High <= 0.5 & Age_Medium <= 0.5 & DiabetesPedigreeFunction_Medium > 0.5 & BMI_High > 0.5,rule,0.0,0.0029239766081871343,0.0
